Melhor fitness:0.244 |Erro: 3.092 |a: 1.293 |b: 4.865 |
Melhor fitness:0.489 |Erro: 1.044 |a: 2.279 |b: 0.542 |
Melhor fitness:0.755 |Erro: 0.324 |a: 1.869 |b: 1.105 |
Melhor fitness:0.892 |Erro: 0.122 |a: 1.869 |b: 1.767 |
Melhor fitness:0.892 |Erro: 0.122 |a: 1.869 |b: 1.767 |
Melhor fitness:0.892 |Erro: 0.122 |a: 1.869 |b: 1.767 |
Melhor fitness:0.892 |Erro: 0.122 |a: 1.869 |b: 1.767 |
Melhor fitness:0.892 |Erro: 0.122 |a: 1.869 |b: 1.767 |
Melhor fitness:0.915 |Erro: 0.092 |a: 1.869 |b: 1.639 |
Melhor fitness:0.915 |Erro: 0.092 |a: 1.869 |b: 1.639 |
Melhor fitness:0.915 |Erro: 0.092 |a: 1.869 |b: 1.639 |
Melhor fitness:0.915 |Erro: 0.092 |a: 1.869 |b: 1.639 |
Melhor fitness:0.915 |Erro: 0.092 |a: 1.869 |b: 1.639 |
Melhor fitness:0.915 |Erro: 0.092 |a: 1.869 |b: 1.639 |
Melhor fitness:0.915 |Erro: 0.092 |a: 1.869 |b: 1.639 |
Melhor fitness:0.917 |Erro: 0.090 |a: 1.869 |b: 1.570 |
Melhor fitness:0.917 |Erro: 0.090 |a: 1.869 |b: 1.570 |
Melhor fitness:0.917 |Erro: 0.090 |a: 1.869 |b: 1.570 |
Melhor fitness:0.917 |Erro: 0.090 |a: 1.869 |b: 1.570 |
Melhor fitness:0.917 |Erro: 0.090 |a: 1.869 |b: 1.570 |
Melhor fitness:0.917 |Erro: 0.090 |a: 1.869 |b: 1.570 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.090 |a: 1.869 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.600 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.596 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
Melhor fitness:0.918 |Erro: 0.089 |a: 1.870 |b: 1.592 |
